stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
1,43.67307692,46.55263158,79.77142857,55.40540541,50.40425532,86.89189189,38.11904762,66.73684211,18.97058824,54.52380952,31.19047619,39.37142857,48.5,15.08823529,51.48717949,24.88372093,15.74285714,49.22222222,62.14285714,20.61538462,65.66666667,34.05263158,1.666666667,19.60606061,18.82857143,12.47058824,13.92592593,5.105263158,92.97058824,31.42857143,20.52380952,61.48648649,53.43902439,83.925
2,65,59.75,48.66666667,57.89189189,31.3,12.56097561,48.275,49.20930233,75.77142857,44.09756098,77.80952381,61.21621622,78.38461538,73.16666667,30.31578947,29.35714286,60.66666667,88.10810811,66.72222222,60.42857143,42.21621622,74.97368421,43.85,76.69444444,70.325,63.23684211,54.56451613,72.73529412,4.880952381,13.46511628,31.41463415,66.18421053,62.80952381,57.51351351
3,37.01052632,36,65.42857143,65.05714286,51.74509804,74.78947368,44.79069767,48.66666667,23.13513514,41.19444444,30.23076923,48.72972973,79.975,19.48571429,55.8974359,42.92857143,23.35135135,27.82352941,47.68421053,25.44444444,72.30555556,37.6969697,27.33333333,32.42857143,44.375,27.10810811,33.89830508,3.972222222,68.78787879,18.36363636,46.02439024,70.80487805,55.92105263,11.29268293
4,64.05319149,65.5,47.19444444,54.7,24.77777778,9.526315789,32.375,44.02439024,59.52631579,41.02380952,54.8974359,62.21212121,81.14634146,50.5,36,20.325,60.95454545,93.83783784,56.775,70.94736842,49.225,62.44736842,57.64102564,73.34210526,61.66666667,60.35294118,49.8245614,72.55263158,3.315789474,10.5,20.36585366,57.17948718,62.05128205,16.56097561
5,69.57731959,50.7027027,56.25714286,61.52777778,44.53488372,14.65,40.25,70.18421053,82.6,50.24324324,69.4,51.16216216,76.12820513,46.89189189,26.34285714,28.89189189,16.97297297,62.71052632,71.02857143,48.64864865,62.78378378,50.02857143,1.461538462,13.91891892,14.16216216,15.12121212,10.91071429,3.702702703,88.84210526,19,21.78378378,70.88888889,71.83333333,20.77777778
6,30.06382979,31.69230769,59.45945946,24.75675676,43.59090909,73.1025641,43.475,46,32.65789474,36.5,43.69047619,47.73529412,38.45,28.92307692,63.85365854,39.73684211,17.91891892,31.59459459,30.57575758,15.21052632,46.97435897,76.64864865,0.885714286,12.16216216,9.75,16.57894737,19.47457627,5.333333333,90.69444444,25.9047619,76.97435897,20.67647059,29.75,65.65
7,48.52747253,51.19512195,62.22857143,47.11764706,30.07317073,77.9,39.975,72.68292683,38.75,53.9,48.13636364,42.44444444,56.30952381,16.02857143,49.69047619,32.15384615,12.43589744,69.41666667,47.43243243,39.81081081,70.65714286,40.71428571,2.818181818,16.36842105,17.3902439,11.54054054,14.53448276,3.891891892,93.48837209,32.68181818,43.97619048,42.89189189,52.48648649,83.97619048
8,82.90721649,56.41025641,16.05405405,42.85714286,3.674418605,25.425,38.97619048,61.15789474,77.55263158,48.925,71.25,46.34210526,73.91891892,45.02857143,15.02857143,19.17948718,6.611111111,25.75675676,64.48571429,81.94444444,64.58974359,55.14705882,11.63157895,14.92857143,18.36363636,20.04878049,18.08474576,2.947368421,91.2,11.90243902,13.13157895,7.487804878,59.81081081,21.84210526
9,69.15957447,33.92105263,50.63157895,51.375,60.56818182,19.2972973,70,55.17948718,70.21212121,45.55263158,63.52380952,46.83783784,64.73684211,36.89189189,22.19512195,41.57894737,27,45.82051282,65.44117647,31.83333333,43.77142857,56.18181818,23.62162162,46.02777778,70.96969697,30.36842105,48.33333333,14.16216216,43.05263158,11.93023256,21.225,45.83783784,71.29268293,20.73170732
10,45.47916667,34.58536585,63.71428571,54,47.27272727,83.66666667,55.82857143,47.80487805,24.13157895,37.62857143,30.21428571,49.59459459,33.92105263,20.65714286,42.27777778,39.95121951,46.38888889,80.77777778,42.18918919,18.325,33.73529412,60.575,17.55,73.94444444,74.88571429,41.55263158,52.83333333,25.14705882,26.85294118,17.88095238,19.85714286,41.79411765,56.27027027,25.84210526
11,67.18,47.71428571,59.61538462,67.71428571,40.57142857,31.72972973,29.92105263,51.13157895,65.0625,40.78378378,58.21428571,55.61111111,73.86842105,24.74285714,28.30555556,25.64864865,26.10810811,55.14705882,64.38888889,45.84848485,45.09090909,64.31578947,90.04878049,19.72972973,25.125,56.10526316,50.56451613,10.16216216,28.31578947,13.64,65.17391304,65.27272727,52.89189189,39.08108108
12,84.2,50.81081081,19.25,42.94736842,6.318181818,47.925,31.53658537,54.97619048,68.41666667,42.38888889,67.84090909,53.91891892,66.85714286,38.48648649,17.15789474,29.075,2,8.236842105,67.75,74.69230769,68.35714286,53.44736842,0.488372093,6.947368421,2.631578947,8.285714286,6.655172414,1.828571429,98.36111111,15.4047619,17.80434783,9.5,60.36842105,17.5952381
13,59.3956044,41.37837838,65.575,47.51515152,46.04761905,85.65,65.36842105,64.92857143,71.75675676,53.9,63.97560976,49.91428571,34.74358974,19.44736842,33.70833333,32.56756757,18.73684211,66.53846154,63.81818182,30.96969697,54.73170732,49,0.972972973,23.13513514,22.61538462,13.60465116,14.43333333,6.675,88.33333333,32.525,20.86046512,52.78947368,57.18421053,88.69230769
